204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /app_dev.php/_profiler/phpinfo HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36 OPR/43.0.2442.991"
204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /panel/.env.2 HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Windows; U; Windows NT 5.2 x64; en-US; rv:1.9a1) Gecko/20060214 Firefox/1.6a1"
204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /.env.example HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.162 Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /public_html/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/6.0; MAFSJS)"
204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /phpinfo/ HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (iPad; CPU OS 9_3 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13E236 Safari/601.1"
204.76.203.213 - - [14/Oct/2025:00:23:17 +0000] "GET /tmp/.env.uat HTTP/1.1" 404 435 "-" "Mozilla/5.0 (X11; U; Linux i686; fr; rv:1.8.1.8) Gecko/20071022 Ubuntu/7.10 (gutsy) Firefox/2.0.0.11"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /src/env/.env HTTP/1.1" 404 435 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.0; Trident/4.0; SLCC1; .NET CLR 2.0.50727; .NET CLR 3.0.30729; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /var/www/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Linux; Android 8.0.0; SM-N950U Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Mobile Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /server/.env HTTP/1.1" 404 2834 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; MASMJS; rv:11.0) like Gecko"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /.env.json HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_6; hr-hr) AppleWebKit/530.1+ (KHTML, like Gecko) Version/3.2.1 Safari/525.27.1"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /projeto/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/46.0.2490.80 Safari/537.36"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /stag/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36 OPR/45.0.2552.812"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /phpinfo.php HTTP/1.1" 404 2834 "-" "Mozilla/5.0 (Windows NT 5.1) Gecko/20100101 Firefox/14.0 Opera/12.0"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /media/.env HTTP/1.1" 404 435 "-" "Mozilla/5.0 (Macintosh; U; PPC Mac OS X; en) AppleWebKit/125.2 (KHTML, like Gecko) Safari/125.8"
204.76.203.213 - - [14/Oct/2025:00:23:18 +0000] "GET /panel/.env.2 HTTP/1.1" 404 2835 "-" "Mozilla/5.0 (compatible; Konqueror/4.5; NetBSD 5.0.2; X11; amd64; en_US) KHTML/4.5.4 (like Gecko)"
